name,type,id,url,locale,date,date_status,segment,genre,subgenre,class_type,subtype,price_type,currency,min_price,max_price,venue_name,venue_type,venue_timezone,city,country,country_code,min_price_eur,max_price_eur
Lady Antebellum: Ocean Tour 2020,event,vv1A8vbu9GA1wxeC,https://concerts.livenation.com/lady-antebellum-ocean-tour-2020-gilford-new-hampshire-09-20-2020/event/010058357ACA208E,en-us,2020-09-20,rescheduled,Music,Country,Country,Undefined,Undefined,standard,USD,38.0,200.0,Bank of New Hampshire Pavilion,venue,America/New_York,Gilford,United States Of America,US,35.234121464997685,185.4427445526194
Eagles,event,vv1AkZAq8GkezVfHD,https://www.ticketmaster.com/eagles-saint-paul-minnesota-10-16-2020/event/06005750B8D14F3B,en-us,2020-10-16,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,126.0,767.0,Xcel Energy Center,venue,America/Chicago,Saint Paul,United States Of America,US,116.8289290681502,711.1729253592953
Eagles,event,vv1AkZAq8GkezgfTh,https://www.ticketmaster.com/eagles-saint-paul-minnesota-10-17-2020/event/06005750B8D54FDB,en-us,2020-10-17,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,126.0,767.0,Xcel Energy Center,venue,America/Chicago,Saint Paul,United States Of America,US,116.8289290681502,711.1729253592953
Eagles,event,G5vYZ4VqSWoX_,https://www.ticketmaster.com/eagles-san-francisco-california-10-02-2020/event/1C00574773F51F99,en-us,2020-10-02,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,129.0,750.0,Chase Center,venue,America/Los_Angeles,San Francisco,United States Of America,US,119.6105702364395,695.4102920723227
Eagles,event,1kk8v94-GA5YE-w,https://www.ticketmaster.com/eagles-phoenix-arizona-10-24-2020/event/190057561BC27872,en-us,2020-10-24,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,94.25,745.25,Talking Stick Resort Arena,venue,America/Phoenix,Phoenix,United States Of America,US,87.38989337042189,691.006026889198
Eagles,event,vvG1YZ4VLloAHj,https://www.ticketmaster.com/eagles-dallas-texas-10-21-2020/event/0C005747EB445F1C,en-us,2020-10-21,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,129.0,750.0,American Airlines Center,venue,America/Chicago,Dallas,United States Of America,US,119.6105702364395,695.4102920723227
Eagles,event,G5vzZ4g6yzQHe,https://www.ticketmaster.com/eagles-denver-colorado-09-19-2020/event/1E005751F9E1AF02,en-us,2020-09-19,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,129.0,750.0,Pepsi Center,venue,America/Denver,Denver,United States Of America,US,119.6105702364395,695.4102920723227
Eagles,event,vv1AaZAqAGkdPXfSW,https://www.ticketmaster.com/eagles-inglewood-california-09-26-2020/event/09005745E5F94CFD,en-us,2020-09-26,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,99.0,750.0,The Forum,venue,America/Los_Angeles,Inglewood,United States Of America,US,91.7941585535466,695.4102920723227
Eagles,event,vv1AaZAqAGkdPWfSB,https://www.ticketmaster.com/eagles-inglewood-california-09-25-2020/event/09005745E5F54CFA,en-us,2020-09-25,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,99.0,750.0,The Forum,venue,America/Los_Angeles,Inglewood,United States Of America,US,91.7941585535466,695.4102920723227
Eagles,event,G5vzZ4g6yyBHk,https://www.ticketmaster.com/eagles-denver-colorado-09-18-2020/event/1E005751F9E7AF06,en-us,2020-09-18,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,129.0,750.0,Pepsi Center,venue,America/Denver,Denver,United States Of America,US,119.6105702364395,695.4102920723227
Eagles,event,G5vYZ4VqWuxjo,https://www.ticketmaster.com/eagles-san-francisco-california-10-03-2020/event/1C0057477D362711,en-us,2020-10-03,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,129.0,750.0,Chase Center,venue,America/Los_Angeles,San Francisco,United States Of America,US,119.6105702364395,695.4102920723227
Eagles,event,vv170Z4VGkwgxwp1,https://www.ticketmaster.com/eagles-inglewood-california-09-29-2020/event/0900574CB58B258A,en-us,2020-09-29,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,99.0,750.0,The Forum,venue,America/Los_Angeles,Inglewood,United States Of America,US,91.7941585535466,695.4102920723227
Eagles,event,1A_ZAqPGkd46wmF,https://www.ticketmaster.com/eagles-phoenix-arizona-10-25-2020/event/19005765D51F2B88,en-us,2020-10-25,rescheduled,Music,Rock,Pop,Undefined,Undefined,standard,USD,94.25,745.25,Talking Stick Resort Arena,venue,America/Phoenix,Phoenix,United States Of America,US,87.38989337042189,691.006026889198
